: inscne
ab	ban-ab
fostaíocht	fostaíochta
imeacht	imeachta
iompar	iompair
ioncam	ioncaim
lá	lae
léann	léinn
leas	leasa
obair	oibre
oideachas	oideachais
oidhreacht	oidhreachta
pleanáil	pleanála
rang	ranga
roinn	roinne
scoil	scoile
seachtain	seachtaine
seirbhís	seirbhíse
tacaíocht	tacaíochta
talamh	talún
teilifís	teilifíse
tír	tíre
tuath	tuaithe
: ainmfhocal-iolra
acmhainn	acmhainní
ball	baill
bean	mná
bliain	blianta
ceann	cinn
ceart	cearta
ceist	ceisteanna
comhlacht	comhlachtaí
críoch	críocha
cúrsa	cúrsaí
dalta	daltaí
deis	deiseanna
duine	daoine
fadhb	fadhbanna
fear	fir
focal	focail
foireann	foirne
iarratas	iarratais
imeacht	imeachtaí
lá	laethanta
leabhar	leabhair
leanbh	leanaí
meán	meáin
moladh	moltaí
múinteoir	múinteoirí
páiste	páistí
rang	ranganna
riachtanas	riachtanais
riail	rialacha
rialachán	rialacháin
rialtas	rialtais
rud	rudaí
scéal	scéalta
scéim	scéimeanna
scil	scileanna
scoil	scoileanna
scoláire	scoláirí
seirbhís	seirbhísí
sonra	sonraí
stát	stáit
toradh	torthaí
tuismitheoir	tuismitheoirí
: briathar-fáistineach
abair	déarfaidh
bain	bainfidh
bí	beidh
cabhraigh	cabhróidh
caith	caithfidh
ceap	ceapfaidh
cinn	cinnfidh
cinntigh	cinnteoidh
coimeád	coimeádfaidh
coinnigh	coinneoidh
cuidigh	cuideoidh
cuir	cuirfidh
déan	déanfaidh
dírigh	díreoidh
éirigh	éireoidh
eisigh	eiseoidh
fág	fágfaidh
fan	fanfaidh
féach	féachfaidh
féad	féadfaidh
feic	feicfidh
glac	glacfaidh
gníomhaigh	gníomhóidh
iarr	iarrfaidh
inis	inseoidh
íoc	íocfaidh
labhair	labhróidh
leag	leagfaidh
lean	leanfaidh
léigh	léifidh
léirigh	léireoidh
lig	ligfidh
mair	mairfidh
oibrigh	oibreoidh
ordaigh	ordóidh
téigh	rachaidh
roghnaigh	roghnóidh
scoir	scoirfidh
seas	seasfaidh
seol	seolfaidh
socraigh	socróidh
soláthair	soláthróidh
spreag	spreagfaidh
tabhair	tabharfaidh
tacaigh	tacóidh
tar	tiocfaidh
tóg	tógfaidh
tosaigh	tosóidh
tuig	tuigfidh
úsáid	úsáidfidh
: briathar-láithreach
abair	deir
aithin	aithníonn
athraigh	athraíonn
bain	baineann
bí	bíonn
braith	braitheann
cabhraigh	cabhraíonn
caith	caitheann
ciallaigh	ciallaíonn
creid	creideann
cuimsigh	cuimsíonn
cuir	cuireann
cum	cumann
déan	déanann
eascair	eascraíonn
éiligh	éilíonn
éirigh	éiríonn
fág	fágann
faigh	faigheann
folaigh	folaíonn
glac	glacann
iarr	iarrann
íoc	íocann
labhair	labhraíonn
leag	leagann
lean	leanann
léirigh	léiríonn
léigh	léann
lig	ligeann
luaigh	luann
mair	maireann
meas	measann
mol	molann
oibrigh	oibríonn
oir	oireann
rith	ritheann
roghnaigh	roghnaíonn
scríobh	scríobhann
seas	seasann
soláthair	soláthraíonn
spreag	spreagann
tacaigh	tacaíonn
tar	tagann
taispeáin	taispeánann
tarlaigh	tarlaíonn
teastaigh	teastaíonn
téigh	téann
tosaigh	tosaíonn
tabhair	tugann
tuig	tuigeann
úsáid	úsáideann
: forainm-1u
ag	agam
ar	orm
as	asam
de	díom
do	dom
faoi	fúm
i	ionam
le	liom
ó	uaim
roimh	romham
trí	tríom
um	umam
: forainm-2u
ag	agat
ar	ort
as	asat
de	díot
do	duit
faoi	fút
i	ionat
le	leat
ó	uait
roimh	romhat
trí	tríot
um	umat
: forainm-3u-bain
ag	aici
ar	uirthi
as	aisti
de	di
do	di
faoi	fúithi
i	inti
le	léi
ó	uaithi
roimh	roimpi
trí	tríthi
um	uimpi
: forainm-1i
ag	againn
ar	orainn
as	asainn
de	dínn
do	dúinn
faoi	fúinn
i	ionainn
idir	eadrainn
le	linn
ó	uainn
roimh	romhainn
trí	trínn
um	umainn
: forainm-2i
ag	agaibh
ar	oraibh
as	asaibh
de	díbh
do	daoibh
faoi	fúibh
i	ionaibh
idir	eadraibh
le	libh
ó	uaibh
roimh	romhaibh
trí	tríbh
um	umaibh
: forainm-3i
ag	acu
ar	orthu
as	astu
de	díobh
do	dóibh
faoi	fúthu
i	iontu
idir	eatarthu
le	leo
ó	uathu
roimh	rompu
trí	tríothu
um	umpu
